Level,Part Number,Qty,Description,Revision,UM,Category,Source,VendorCode,ProductLine,Bin,PurchaseUM,MFG PartNo,MFG Name,Cost
1.3.3.3,      F-DST-SQ-003-00033,1,SAFETY RAIL MALE PIPE,A,EA,Nor,J,FAB010,3,P3E,EA,ST3033,Fab Tech,
1.3.3.4,      P-FBT-UQ-998-05005-F,4,M5 x 5mm Set Screw: Brass Tip,,EA,NOR,P,MCM010,5,HWARE,,90418A341,McMaster-Carr,2.45
1.3.3.5,      P-PYO-UQ-999-25088,1,"1/4"" x 7/8"" Roll Pin; 18-8 SS",,EA,Nor,P,FAS010,5,HWARE,EA,,Fastenal,0.36
1.3.3.6,      P-PYO-UQ-999-38225,2,"3/8"" X 2-1/4"" Roll Pin; 18-8 SS",,EA,Nor,P,FAS010,5,HWARE,EA,171554,Fastenal,3.41
1.3.3.7,      P-PYS-UQ-999-38225,2,"3/8"" x 2-1/4"" Snapper Pin; 18-8 SS",,EA,Nor,P,FAS010,5,HWARE,EA,11104148,Fastenal,4.69
1.3.4,    A-WSQ-SQ-003-00185,1,SAFETY RAIL SMALL FEMALE RECEIVER,,EA,NOR,P,FAB010,3,P3E,EA,WD3185,Fab Tech,
1.3.4.1,      F-DSS-UQ-003-00037,1,SMALL FEMALE RECEIVER BRACKET,,EA,PHT,F,FAB010,3,P3E,EA,SS3037,Fab Tech,
1.3.4.2,      F-SST-UQ-003-00029,1,SAFETY RAIL SMALL FEMALE RECEIVER,,EA,PHT,F,FAB010,3,P3E,EA,ST3029,Fab Tech,
1.3.5,    A-WSQ-SQ-003-00186,1,SAFETY RAIL LARGE FEMALE RECEIVER,,EA,NOR,P,FAB010,3,P3E,EA,WD3186,Fab Tech,
1.3.5.1,      F-DSS-UQ-003-00038,1,LARGE FEMALE RECEIVER BRACKET,,EA,PHT,F,FAB010,3,P3E,EA,SS3038,Fab Tech,
1.3.5.2,      F-SST-UQ-003-00030,1,SAFETY RAIL LARGE FEMALE RECEIVER,,EA,PHT,F,FAB010,3,P3E,EA,ST3030,Fab Tech,
1.3.6,    A-WSQ-SQ-003-00215,2,STAIRS LOWER STAND OFF,,EA,NOR,P,FAB010,3,P3E,EA,WD3215,Fab Tech,
1.3.6.1,      F-DSP-UQ-003-00031,1,LOWER MOUNT KNUCKLE,,EA,PHT,F,FAB010,3,P3E,EA,SP3031,Fab Tech,
1.3.6.2,      F-DSS-UQ-003-00046,1,STAIR STAND-OFF BACK PLATE,,EA,PHT,F,FAB010,3,P3E,EA,SS3046,Fab Tech,
1.3.6.3,      F-DST-UQ-003-00036,1,LADDER LOWER CLEVIS STAND OFF,,EA,Pht,F,FAB010,3,P3E,EA,ST3036,Fab Tech,
1.3.7,    F-DSP-SQ-003-00022,2,STAIR MOUNT INNER BRACKET,A,EA,Nor,P,FAB010,3,P3E,EA,SP3022,Fab Tech,24
1.3.8,    F-DSP-SQ-003-00023,2,STAIR MOUNT OUTER BRACKET,A,EA,Nor,P,FAB010,3,P3E,EA,SP3023,Fab Tech,24
1.3.9,    F-DSS-SQ-003-00520,1,FOLDING STAIR OUTER GRATING BRACKET,,EA,Nor,P,FAB010,3,P3E,EA,SS3520,Fab Tech,
1.3.10,    F-DSS-SQ-003-00521,1,FOLDING STAIR INNER GRATING BRACKET,,EA,Nor,P,FAB010,3,P3E,EA,SS3521,Fab Tech,
